                                                                                                                                                        CODIGO
           MARCA                              MODELO                         INDUSTRIA                          Nº DE SERIE                         APROBACION                   Vigente desde                          TIPO
            ANCA                         CVDV Versión 2                        argentina                           CJR0044                         DNCI Nº 625/08            04/11/15 al 03/11/16                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0045                         DNCI Nº 625/08            17/11/15 al 16/11/16                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0045                         DNCI Nº 625/08            20/10/16 al 19/10/17                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0047                         DNCI N° 625/08           07/ 09/15 al 06/09/16                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0047                         DNCI N° 625/08           16/ 07/16 al 15/07/17                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0048                         DNCI N° 625/08           21/ 08/15 al 20/08/16                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0048                         DNCI N° 625/08           16/ 07/16 al 15/07/17                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0050                         DNCI Nº 625/08            20/05/15 al 19/05/16                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0050                         DNCI Nº 625/08            20/05/16 al 19/05/17                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0053                         DNCI Nº 625/08            04/08/16 al 03/08/17                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0054                         DNCI Nº 625/08            19/10/15 al 18/10/16                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0054                         DNCI Nº 625/08            04/08/16 al 03/08/17                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0055                         DNCI Nº 625/08            02/07/15 al 01/07/16                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0055                         DNCI Nº 625/08            16/06/16 al 15/06/17                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0056                         DNCI Nº 625/08            09/11/15 al 08/11/16                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0056                         DNCI Nº 625/08            14/10/16 al 13/10/17                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0057                         DNCI Nº 625/08            29/06/15 al 28/06/16                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0057                         DNCI Nº 625/08            30/06/16 al 29/06/17                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0059                         DNCI Nº 625/08            18/04/16 al 17/04/17                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0059                         DNCI Nº 625/08            20/01/17 al 19/01/18                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0060                         DNCI Nº 625/08            31/07/14 al 30/07/15                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0060                         DNCI Nº 625/08            24/08/15 al 23/08/16                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0061                         DNCI Nº 625/08            25/06/15 al 24/06/16                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0061                         DNCI Nº 625/08            04/06/16 al 03/06/17                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0062                         DNCI Nº 625/08            23/11/15 al 22/11/16                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0062                         DNCI Nº 625/08            02/12/16 al 01/12/17                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0063                         DNCI Nº 625/08            08/03/16 al 07/03/17                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0063                         DNCI Nº 625/08            20/01/17 al 19/01/18                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0064                         DNCI Nº 625/08            07/11/14 al 06/11/15                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0065                         DNCI Nº 625/08            10/06/15 al 09/06/16                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0065                         DNCI Nº 625/08            17/05/16 al 16/05/17                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0066                         DNCI Nº 625/08            02/09/15 al 01/09/16                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0066                         DNCI Nº 625/08            18/08/16 al 17/08/17                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0067                         DNCI Nº 625/08            31/07/14 al 30/07/15                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0067                         DNCI Nº 625/08            24/08/15 al 23/08/16                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0068                         DNCI Nº 625/08            15/07/15 al 14/07/16                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0068                         DNCI Nº 625/08            14/07/16 al 13/07/17                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0069                         DNCI Nº 625/08            15/07/15 al 14/07/16                       FIJO
